datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/4 19:00,22,7.8,0.52,-4.2914863,-2.8257427,20.439407,5.138617,56.638996,88.87853,1013.36365,0.003442168,2071.25,1407094.8,6.4620957,76.55098,400.67023,109.6
2022/1/4 20:00,23,8,0.52,-4.2912755,-2.5001762,20.341896,4.9666233,59.775986,89.905075,1013.94543,0.008856878,0,1390640.8,6.464887,70.72855,398.5772,106.2
2022/1/4 21:00,21.6,8.8,0.52,-4.268926,-2.2771873,20.291527,4.8388486,61.919327,90.55291,1014.4745,0.021636486,0,1376740.5,6.680728,64.16341,382.5519,100.4
2022/1/4 22:00,21.4,9.2,0.5,-4.198082,-1.9461937,20.21035,4.6296835,65.100204,91.26839,1014.34436,0.011311844,0,1357732,6.936721,59.18865,369.18488,96.4
2022/1/4 23:00,22.2,10,0.5,-4.164136,-1.4991307,20.267792,4.4315743,70.11942,91.15851,1013.9786,0.003447756,0,1391492,7.348052,56.27854,350.3791,93.6
2022/1/5 0:00,23.4,9.4,0.5,-4.2001905,-0.9435201,20.266815,4.3108644,77.23976,91.445915,1013.59064,0.000491738,0,1376172.5,7.754678,54.53877,360.12567,91
2022/1/5 1:00,23,10.2,0.5,-4.1562295,-0.4323365,20.179565,4.183278,83.98824,92.17758,1012.7906,0,0,1336740,7.8139405,55.669533,378.96185,86.2
2022/1/5 2:00,20.4,5.6,0.5,-3.7666936,-0.31239098,20.123108,3.782157,85.232834,92.80139,1012.34985,0,0,1324257.5,7.23424,57.88434,386.64606,88.4
2022/1/5 3:00,20.4,6.4,0.5,-3.3359385,0.45155442,20.174751,3.3681822,97.768845,92.038155,1011.76575,0,0,1351207.5,7.3939652,61.727886,321.0478,84
2022/1/5 4:00,20.8,4.8,0.5,-2.817893,-0.30626577,20.349586,2.8357742,83.87303,91.80284,1011.64233,0.003933907,0,1420853.5,7.0844893,64.9703,250.51518,83
2022/1/5 5:00,18.4,5,0.5,-2.4780114,-1.2569138,20.408943,2.778729,63.130363,92.1983,1011.6577,0.029014423,0,1444683.5,6.5152636,67.84831,204.66983,77.4
2022/1/5 6:00,19.8,8.6,0.48000002,-2.4210832,-1.9796108,20.509346,3.1277955,50.74895,92.14496,1012.0985,0.042296946,0,1460571,6.1714144,71.123375,169.70142,78.2
2022/1/5 7:00,20.4,11.2,0.48000002,-2.3900893,-2.5077744,20.495865,3.465937,43.67962,91.91102,1012.71564,0.069843605,0,1440994,6.2646937,78.60422,195.88579,76.8
2022/1/5 8:00,18.8,9.6,0.5,-2.6706247,-2.8903794,20.419067,3.9379625,42.836685,92.473335,1013.2573,0.012342818,50498.75,1410862,6.559532,90.24203,251.29448,84
2022/1/5 9:00,21.8,8.6,0.5,-3.4285948,-2.6682775,20.71531,4.3477335,52.171623,91.06176,1013.6182,0.012849458,296353.25,1451519.5,6.816199,99.0109,324.27133,90.6
2022/1/5 10:00,25,10.2,0.5,-4.1709747,-1.9469495,21.271988,4.6052284,64.98834,87.680115,1013.7533,0.013443641,904046.25,1435553.8,6.5054,103.371414,352.3499,89.6
2022/1/5 11:00,23.8,9.6,0.475,-3.7209911,-1.6305501,21.729477,4.0660243,66.335464,86.25967,1013.46985,0.036749057,1608598.5,1318044.8,5.5122943,100.89336,373.7525,91
2022/1/5 12:00,23.6,7.8,0.5,-3.3812623,-2.3269765,22.238693,4.1115828,55.484478,83.40502,1013.1687,0.048698857,2057237.1,1331959.5,4.646578,91.02457,401.7243,95.2
2022/1/5 13:00,25.2,6,0.5,-3.4595897,-3.2882588,22.410866,4.782519,46.488907,82.70609,1012.10364,0.08783676,2349077.2,1310595.2,4.4089212,74.492455,406.67398,98.2
2022/1/5 14:00,20.4,5,0.43999997,-3.6301537,-3.9059513,22.30571,5.343255,42.93234,82.99044,1011.5391,0.082462095,2240212.5,1345032.5,4.2852926,60.58274,423.70752,98.2
2022/1/5 15:00,17,4.6,0.42,-4.077057,-3.1517565,22.119606,5.1589413,52.28423,83.64039,1011.1449,0.13563874,1737232.2,1387763,4.607015,52.301685,411.68457,97.6
2022/1/5 16:00,15,5,0.42,-4.3057833,-2.8392024,21.849892,5.1630263,56.566208,84.65231,1010.78845,0.035851263,1459383,1342081,5.2253203,48.84734,384.0643,98.8
2022/1/5 17:00,14.8,6.4,0.42,-4.175549,-2.4188018,21.51152,4.8287716,59.870136,86.35827,1011.39954,0.018225051,876153.75,1313827.2,5.0521207,55.33689,374.54694,97
2022/1/5 18:00,17.4,8.2,0.42,-3.918349,-2.230848,21.012886,4.5095434,60.324738,88.932465,1011.81805,0.011354685,285251.5,1320997,5.235343,64.42241,340.86172,93.8
